StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-09-04T09:30:00Z,APXMIDP,04-09-2024,22,73.97,2161.45
2024-09-04T09:00:00Z,APXMIDP,04-09-2024,21,74.85,2042.6
2024-09-04T08:30:00Z,APXMIDP,04-09-2024,20,75.89,1754.3
2024-09-04T08:00:00Z,APXMIDP,04-09-2024,19,81.5,1845.55
2024-09-04T07:30:00Z,APXMIDP,04-09-2024,18,91.63,2481.5
2024-09-04T07:00:00Z,APXMIDP,04-09-2024,17,93.45,2016.35
2024-09-04T06:30:00Z,APXMIDP,04-09-2024,16,109.05,1566.55
2024-09-04T06:00:00Z,APXMIDP,04-09-2024,15,101.99,1420.9
2024-09-04T05:30:00Z,APXMIDP,04-09-2024,14,101.65,1485.75
2024-09-04T05:00:00Z,APXMIDP,04-09-2024,13,94.88,1185.55
2024-09-04T04:30:00Z,APXMIDP,04-09-2024,12,74.79,1307.65
2024-09-04T04:00:00Z,APXMIDP,04-09-2024,11,76.75,1038
2024-09-04T03:30:00Z,APXMIDP,04-09-2024,10,71.33,793.1
2024-09-04T03:00:00Z,APXMIDP,04-09-2024,9,72.38,981.7
2024-09-04T02:30:00Z,APXMIDP,04-09-2024,8,72.53,1000.1
2024-09-04T02:00:00Z,APXMIDP,04-09-2024,7,74.99,961.1
2024-09-04T01:30:00Z,APXMIDP,04-09-2024,6,75.41,1347.45
2024-09-04T01:00:00Z,APXMIDP,04-09-2024,5,73.13,1241.8
2024-09-04T00:30:00Z,APXMIDP,04-09-2024,4,78.9,1060.65
2024-09-04T00:00:00Z,APXMIDP,04-09-2024,3,79.75,1211.65
2024-09-03T23:30:00Z,APXMIDP,04-09-2024,2,72.53,1214.65
2024-09-03T23:00:00Z,APXMIDP,04-09-2024,1,75.42,1350.35
2024-09-03T22:30:00Z,APXMIDP,03-09-2024,48,80.3,1272.8
2024-09-03T22:00:00Z,APXMIDP,03-09-2024,47,74.9,1735.4
2024-09-03T21:30:00Z,APXMIDP,03-09-2024,46,81.68,2135.8
2024-09-03T21:00:00Z,APXMIDP,03-09-2024,45,84.57,1898.9
2024-09-03T20:30:00Z,APXMIDP,03-09-2024,44,76.62,2258.15
2024-09-03T20:00:00Z,APXMIDP,03-09-2024,43,86.31,2560.85
2024-09-03T19:30:00Z,APXMIDP,03-09-2024,42,98.39,2704.25
2024-09-03T19:00:00Z,APXMIDP,03-09-2024,41,101.36,2549.55
2024-09-03T18:30:00Z,APXMIDP,03-09-2024,40,101.6,2730.65
2024-09-03T18:00:00Z,APXMIDP,03-09-2024,39,100.25,2614.6
2024-09-03T17:30:00Z,APXMIDP,03-09-2024,38,104.35,2243.85
2024-09-03T17:00:00Z,APXMIDP,03-09-2024,37,100.64,2347.95
2024-09-03T16:30:00Z,APXMIDP,03-09-2024,36,104.08,2068.1
2024-09-03T16:00:00Z,APXMIDP,03-09-2024,35,99.02,2172.9
